name,d,bf,tf,tw,r,dw,dw/tw,(bf-tw)/2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fyf,fyw,kf,Cx,Zex,Cy,Zey
610UB125,612,229,19.6,11.9,14,572,48.1,5.54,16000,9.86E+08,3.23E+06,3.68E+06,249,3.93E+07,3.43E+05,5.36E+05,49.6,1.56E+06,3.45E+09,280,300,0.95,C,3680,C,515
610UB113,607,228,17.3,11.2,14,572,51.1,6.27,14500,8.75E+08,2.88E+06,3.29E+06,246,3.43E+07,3.00E+05,4.69E+05,48.7,1.14E+06,2.98E+09,280,300,0.926,C,3290,C,451
610UB101,602,228,14.8,10.6,14,572,54,7.34,13000,7.61E+08,2.53E+06,2.90E+06,242,2.93E+07,2.57E+05,4.02E+05,47.5,7.90E+05,2.53E+09,300,320,0.888,C,2900,C,386
530UB92.4,533,209,15.6,10.2,14,502,49.2,6.37,11800,554000000,2080000,2370000,217,23800000,228000,355000,44.9,775000,1.59E+12,300,320,0.928,C,2370,C,342
530UB82.0,528,209,13.2,9.6,14,502,52.3,7.55,10500,477000000,1810000,2070000,213,20100000,193000,301000,43.8,526000,1.33E+12,300,320,0.902,C,2070,C,289
460UB82.1,460,191,16,9.9,11.4,428,43.3,5.66,10500,372000000,1610000,1840000,188,18600000,195000,303000,42.2,701000,9.19E+11,300,320,0.979,C,1840,C,292
460UB74.6,457,190,14.5,9.1,11.4,428,47.1,6.24,9520,335000000,1460000,1660000,188,16600000,175000,271000,41.8,530000,8.15E+11,300,320,0.948,C,1660,C,262
460UB67.1,454,190,12.7,8.5,11.4,428,50.4,7.15,8580,296000000,1300000,1480000,186,14500000,153000,238000,41.2,378000,7.08E+11,300,320,0.922,C,1480,C,230
410UB59.7,406,178,12.8,7.8,11.4,381,48.8,6.65,7640,216000000,1060000,1200000,168,12100000,135000,209000,39.7,337000,4.67E+11,300,320,0.938,C,1200,C,203
410UB53.7,403,178,10.9,7.6,11.4,381,50.1,7.82,6890,188000000,933000,1060000,165,10300000,115000,179000,38.6,234000,3.94E+11,320,320,0.913,C,1060,C,173
360UB56.7,359,172,13,8,11.4,333,41.6,6.31,7240,161000000,899000,1010000,149,11000000,128000,198000,39,338000,3.3E+11,300,320,0.996,C,1010,C,193
360UB50.7,356,171,11.5,7.3,11.4,333,45.6,7.12,6470,142000000,798000,897000,148,9600000,112000,173000,38.5,241000,2.84E+11,300,320,0.963,C,897,C,168
360UB44.7,352,171,9.7,6.9,11.4,333,48.2,8.46,5720,121000000,689000,777000,146,8100000,94700,146000,37.6,161000,2.37E+11,320,320,0.93,N,770,N,140
310UB46.2,307,166,11.8,6.7,11.4,284,42.3,6.75,5930,100000000,654000,729000,130,9010000,109000,166000,39,233000,1.97E+11,300,320,0.991,C,729,C,163
310UB40.4,304,165,10.2,6.1,11.4,284,46.5,7.79,5210,86400000,569000,633000,129,7650000,92700,142000,38.3,157000,1.65E+11,320,320,0.952,C,633,C,139
310UB32.0,298,149,8,5.5,13,282,51.3,8.97,4080,63200000,424000,475000,124,4420000,59300,91800,32.9,86500,92900000000,320,320,0.915,N,467,N,86.9
250UB37.3,256,146,10.9,6.4,8.9,234,36.6,6.4,4750,55700000,435000,486000,108,5660000,77500,119000,34.5,158000,85200000000,320,320,1,C,486,C,116
250UB31.4,252,146,8.6,6.1,8.9,234,38.4,8.13,4010,44500000,354000,397000,105,4470000,61200,94200,33.4,89300,65900000000,320,320,1,N,395,N,91.4
250UB25.7,248,124,8,5,12,232,46.4,7.44,3270,35400000,285000,319000,104,2550000,41100,63600,27.9,67400,36700000000,320,320,0.949,C,319,C,61.7
200UB29.8,207,134,9.6,6.3,8.9,188,29.8,6.65,3820,29100000,281000,316000,87.3,3860000,57500,88400,31.8,105000,37600000000,320,320,1,C,316,C,86.3
200UB25.4,203,133,7.8,5.8,8.9,188,32.3,8.15,3230,23600000,232000,260000,85.4,3060000,46100,70900,30.8,62700,29200000000,320,320,1,N,259,N,68.8
200UB22.3,202,133,7,5,8.9,188,37.5,9.14,2870,21000000,208000,231000,85.5,2750000,41300,63400,31,45000,26000000000,320,320,1,N,227,N,60.3
200UB18.2,198,99,7,4.5,11,184,40.9,6.75,2320,15800000,160000,180000,82.6,1140000,23000,35700,22.1,38600,10400000000,320,320,0.99,C,180,C,34.4
180UB22.2,179,90,10,6,8.9,159,26.5,4.2,2820,15300000,171000,195000,73.6,1220000,27100,42300,20.8,81600,8710000000,320,320,1,C,195,C,40.7
180UB18.1,175,90,8,5,8.9,159,31.8,5.31,2300,12100000,139000,157000,72.6,975000,21700,33700,20.6,44800,6800000000,320,320,1,C,157,C,32.5
180UB16.1,173,90,7,4.5,8.9,159,35.3,6.11,2040,10600000,123000,138000,72,853000,19000,29400,20.4,31500,5880000000,320,320,1,C,138,C,28.4
150UB18.0,155,75,9.5,6,8,136,22.7,3.63,2300,9050000,117000,135000,62.8,672000,17900,28200,17.1,60500,3560000000,320,320,1,C,135,C,26.9
150UB14.0,150,75,7,5,8,136,27.2,5,1780,6660000,88800,102000,61.1,495000,13200,20800,16.6,28100,2530000000,320,320,1,C,102,C,19.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
